# degree_L,p_0 multiple=1,p_0 multiple=2,p_0 multiple=4,p_0 multiple=8,p_0 multiple=16,p_0 multiple=32,p_0 multiple=64,p_0 multiple=128,p_0 multiple=256,p_p multiple=1,p_p multiple=2,p_p multiple=4,p_p multiple=8,p_p multiple=16,p_p multiple=32,p_p multiple=64,p_p multiple=128,p_p multiple=256
4.000000000000000000e+00,5.329034182735711278e-01,8.136218104318060362e-01,5.009473878973764727e-01,5.382996561989872308e-01,6.233943885657037276e-01,7.106543885657075066e-01,7.636543885657105513e-01,5.019353825188179741e-01,5.020515324993536366e-01,8.287387134128408883e-01,4.905614980762241228e-01,4.935705308490466181e-01,5.037123044179201425e-01,5.475294916125863498e-01,5.867852373346349459e-01,7.042352373346282279e-01,8.012852373346412982e-01,5.340708001141633021e-01
6.000000000000000000e+00,2.674999930362284006e-01,5.507118104318060592e-01,7.002418878362053345e-01,5.591597401616923424e-01,5.008582594366907115e-01,4.983684613955896014e-01,5.008863631623945434e-01,5.006445774652771297e-01,5.016115324993540847e-01,6.893589034424738582e-01,3.757357841504992413e-01,5.406291233116908845e-01,5.116932076899237680e-01,5.029108001141615603e-01,5.012232076899236777e-01,5.061016670357816327e-01,5.016819956376052936e-01,5.008508001141582788e-01
8.000000000000000000e+00,1.164163593754639070e-01,3.129696561989873116e-01,3.402973878973765687e-01,4.596024593790963841e-01,5.345219517535877429e-01,5.036163631623937764e-01,5.012654993584054752e-01,5.010853825188181787e-01,5.000266954241010531e-01,2.971604222688200014e-01,4.943413074943237007e-01,3.494105308490467188e-01,4.480491233116911665e-01,5.251423256823224417e-01,5.114061660128292885e-01,5.012819956376068919e-01,5.029908001141623064e-01,5.435308001141583301e-01
1.000000000000000000e+01,4.533780745483906305e-02,1.323073878973765605e-01,1.336754194680981334e-01,2.587545774652764696e-01,4.128439278970631454e-01,5.205345255970001972e-01,5.715438455918278038e-01,4.998963631623903336e-01,5.009015324993540963e-01,1.186665120092343373e-01,1.964212476539641261e-01,1.555511292739875095e-01,2.598823044179201514e-01,3.782154312355163750e-01,4.914208001141616711e-01,5.424750450644754141e-01,4.977604571877985440e-01,5.008840170535291403e-01
1.200000000000000000e+01,1.725755550670804439e-02,4.423181043180596239e-02,4.410918069597910551e-02,1.202671026720615322e-01,2.069539278970628782e-01,3.276001733484330547e-01,4.707961010807438784e-01,5.358153825188182173e-01,5.129895102679922214e-01,4.835871341284081470e-02,1.046287134128410234e-01,8.464912331169094362e-02,1.268423044179202985e-01,2.119622218310747153e-01,3.449030190983952693e-01,4.581067702182276546e-01,5.469053907475329712e-01,5.091201676161100087e-01
1.400000000000000000e+01,6.747604815978025528e-03,1.994438856570344976e-02,1.892498802267450486e-02,4.968710267206191689e-02,9.170017334843483248e-02,1.675862828487175715e-01,2.835359659886743655e-01,4.049048260863327142e-01,5.148066954241010684e-01,2.001006892186851793e-02,2.610022164742586970e-02,2.590917409584314601e-02,4.032949161258703175e-02,8.373222183107476013e-02,1.704321073021379807e-01,2.701308134489375790e-01,4.195104571877985578e-01,5.281179792118498861e-01
1.600000000000000000e+01,3.891223138356214584e-03,7.309208167073498463e-03,9.011199903673189349e-03,1.887738789737650538e-02,3.780245937909643139e-02,7.213628284871831386e-02,1.292932008814540179e-01,2.259995102679950296e-01,3.696024543500381343e-01,7.041498076224100150e-03,1.379507198779150734e-02,1.100273684266239727e-02,1.836888827463921403e-02,3.641554227256593723e-02,6.852320768992381517e-02,1.266519956376064293e-01,2.174057970733817013e-01,3.514277448225407996e-01
1.800000000000000000e+01,3.422395184022319903e-03,4.380806006339749148e-03,4.853616217318806880e-03,6.627387897376559554e-03,1.525974016169332620e-02,2.818168025325906711e-02,5.184640486133426651e-02,1.028296304718682441e-01,1.827759659886559751e-01,4.697116637544962447e-03,6.234512136952030659e-03,4.485784150499161349e-03,7.059123311691171618e-03,1.384523733463427497e-02,2.692081344893870742e-02,5.459616601283112658e-02,1.007333977272355519e-01,1.850840170535290596e-01
2.000000000000000000e+01,3.591580553559958755e-03,4.124825575448742843e-03,3.521223138356233129e-03,4.869491719724949874e-03,5.269025265929185020e-03,9.166282848717566267e-03,2.148791096008254020e-02,4.038636316239038043e-02,7.826596598865598331e-02,3.807116637544960547e-03,4.752928286209878728e-03,4.070941558451224296e-03,4.703513567389960848e-03,6.530297137694651699e-03,1.032581965407897151e-02,2.047080011416186826e-02,3.911401705353136082e-02,7.047158980029522013e-02
2.200000000000000000e+01,3.954649864318204866e-03,2.751937804489956729e-03,5.179983095693230233e-03,4.441470341028486146e-03,3.577604815979573694e-03,5.143396459455773506e-03,8.042879054467426403e-03,1.412636316239038181e-02,2.867971708460646807e-02,3.364667093317286195e-03,3.322915163990913801e-03,3.119674830555418943e-03,3.602928286210616005e-03,4.437850958664391054e-03,4.665542272563924509e-03,7.697701097369724632e-03,1.554774482253229451e-02,2.983539074753516207e-02
2.400000000000000000e+01,4.251941470866271722e-03,2.888877238336418074e-03,3.370238849355888799e-03,2.845988586196668280e-03,3.837904375338374585e-03,3.805490364336305831e-03,4.674900876583620857e-03,6.323200881454882349e-03,1.094971708460647231e-02,3.109103307122995652e-03,3.177084836008869928e-03,3.444653677861508889e-03,3.436719691939593702e-03,3.382149041337378925e-03,3.653353876695242253e-03,4.177701097369701522e-03,6.149720414083459374e-03,1.124616601282668604e-02
